mustahiq_id,nama_mustahiq,jenis_kelamin,usia,jumlah_tanggungan,channel,grup,kode_relawan,relawan,relawan_verifikator,user,tgl_registrasi,bulan,tgl,tgl_verifikasi,tgl_penyaluran,kode_periode,program,kategori_program,kategori_asnaf,sub_kategori_asnaf,nominal_diajukan,nominal_disalurkan,setoran,bank,mutasi,metode_penyaluran,status_verifikasi,status_penyaluran,is_penerima_aktif,is_berulang,frekuensi_terima
MQ260000001,Mustahiq-S000001,L,41,3,Cinere,CN4101,RL20000632,Abdul Rachman,VRF00014,yusan2507@gmail.com,2026-04-06 00:00:00,Apr 2026,2026-04-06,2026-04-12,2026-04-24,2026-04,Wakaf Sumur,Wakaf,Fakir,Pedalaman,42000,42000,Transfer,Channel Darus Salam BSI 9995554345,BSI498.26-04.0001,Barang/In-Kind,Terverifikasi,Tersalurkan,1,0,5
MQ260000002,Mustahiq-B000002,P,69,0,Sahabat Zakat Pangandaran P,PN01,RL24000027,Hendra Gunawan,VRF00027,muhtaofik131@gmail.com,2026-01-27 00:00:00,Jan 2026,2026-01-27,2026-02-02,,2026-01,Sedekah 1000 Bulan,Infak Tidak Terikat,Fakir,Dhuafa,91000,0,Transfer,Channel Cimanggis BNI Syariah 0442 405 970,BSI498.26-01.0002,,Ditolak,Dibatalkan,0,1,8
MQ260000003,Mustahiq-G000003,P,74,2,Limo,LM3101,RL20002346,Risno,VRF00028,izzatimahesa@gmail.com,2026-03-16 00:00:00,Mar 2026,2026-03-16,2026-03-28,2026-04-17,2026-03,Wakaf Masjid Berdaya,Wakaf,Fisabilillah,Santri Tahfidz,164000,164000,Transfer,Channel Cimanggis BNI Syariah 0442 405 970,BSI498.26-03.0003,Voucher,Terverifikasi,Tersalurkan,1,0,12
MQ260000004,Mustahiq-Y000004,P,21,7,NF Peduli,KD-IA501,RL20003455,Ghufron Harun,VRF00047,Rabiiliizzati@gmail.com,2026-02-05 00:00:00,Feb 2026,2026-02-05,2026-02-15,2026-03-04,2026-02,Bersama Zahid Syak Kirim Kehangatan untuk Palestina,Infak Terikat,Miskin,Keluarga Prasejahtera,506000,0,Transfer,Channel Tapos BNI Syariah 0442 406 372,BSI498.26-02.0004,,Pending,Ditunda,0,0,10
MQ260000005,Mustahiq-W000005,L,52,3,Cinere,CN3201,RL20002429,Peniwati,VRF00022,nhiedea@yahoo.com,2026-01-25 00:00:00,Jan 2026,2026-01-25,2026-02-05,2026-02-26,2026-01,Bantuan Tunggakan Sekolah untuk Kaum Dhuafa,Infak Terikat,Miskin,Keluarga Prasejahtera,66000,66000,Transfer,Channel Beji BSM 709 6789 108,BSI498.26-01.0005,Transfer Bank,Terverifikasi,Tersalurkan,1,0,11
MQ260000006,Mustahiq-M000006,P,55,7,Bakti Cinta Negeri,X3102,RL22000027,Ahmad Firdaus,VRF00030,rizky.nugraha97.nr@gmail.com,2026-02-10 00:00:00,Feb 2026,2026-02-10,2026-02-13,2026-03-10,2026-02,Santunan yatim,Infak Terikat,Fakir,Yatim,32000,0,Transfer,Kantor Pusat BSM 703 9797 498,BSI498.26-02.0006,,Pending,Dalam Proses,0,0,8
MQ260000007,Mustahiq-C000007,L,26,6,AlBiruni,K4101,RL21005089,M. Yusro,VRF00023,amiruddin.hanif616@gmail.com,2026-05-15 00:00:00,Mei 2026,2026-05-15,2026-05-23,2026-06-21,2026-05,Infaq Dunia Islam,Infak Tidak Terikat,Fakir,Dhuafa,22000,0,Transfer,Channel Cipayung BSM 709 678 9143,BSI498.26-05.0007,,Terverifikasi,Ditunda,0,0,1
MQ260000008,Mustahiq-E000008,P,37,4,Tapos,TP3207,RL20003422,Mira Hafiedz Suhendra,VRF00012,yellymarzilla@gmail.com,2026-03-30 00:00:00,Mar 2026,2026-03-30,2026-04-09,2026-04-24,2026-03,Tebar 1000 Quran,Infak Tidak Terikat,Miskin,Dhuafa,10000,10000,Transfer,Channel Beji BSI 709 6789 108,BSI498.26-03.0008,Tunai,Terverifikasi,Tersalurkan,1,1,4
MQ260000009,Mustahiq-U000009,P,24,2,Pusat,Sahabat Zakat,RL25000668,atrawgn,VRF00022,firaalianii@gmail.com,2026-03-16 00:00:00,Mar 2026,2026-03-16,2026-03-30,2026-04-16,2026-03,Tebar 1000 Quran,Infak Tidak Terikat,Fakir,Yatim,14000,14000,Transfer,Kantor Pusat BCA Syariah 010 100 4000,BSI498.26-03.0009,Voucher,Terverifikasi,Tersalurkan,1,0,8
MQ260000010,Mustahiq-S000010,L,48,7,Cipayung,CP4201,RL20003975,Ferry Veronika,VRF00008,setyawanfar29@gmail.com,2026-05-17 00:00:00,Mei 2026,2026-05-17,2026-05-22,2026-06-11,2026-05,Tingkatkan Kemajuan Bangsa Bersama SMA Terbuka,Infak Terikat,Miskin,Lansia,48000,0,Transfer,Channel Tapos BNI Syariah 0442 406 372,BSI498.26-05.0010,,Pending,Dalam Proses,0,0,1
MQ260000011,Mustahiq-L000011,P,20,4,Cipayung,CP3210,RL26000027,Saarah Sabrina Bazliah,VRF00040,saprudin733@gmail.com,2026-03-04 00:00:00,Mar 2026,2026-03-04,2026-03-18,2026-04-12,2026-03,Bingkisan Berkah Ramadhan Untuk Palestina,Infak Terikat,Fakir,Lansia,92000,0,Transfer,Channel Beji BSM 709 6789 108,BSI498.26-03.0011,,Pending,Dalam Proses,0,0,4
MQ260000012,Mustahiq-H000012,P,25,3,Bakti Cinta Negeri,X3101,RL24000206,Sholah Fariduddin,VRF00039,faiz24041991@gmail.com,2026-03-17 00:00:00,Mar 2026,2026-03-17,2026-03-20,2026-03-27,2026-03,GAZA KEMBALI DISERANG,Infak Terikat,Fisabilillah,Pejuang Kemanusiaan,158000,158000,Transfer,Channel Cipayung BSM 709 678 9143,BSI498.26-03.0012,Voucher,Terverifikasi,Tersalurkan,1,1,12
MQ260000013,Mustahiq-M000013,P,53,0,Bojongsari,BS3205,RL21005540,muthi farida,VRF00033,ichsanusapati@gmail.com,2026-04-07 00:00:00,Apr 2026,2026-04-07,2026-04-11,2026-05-03,2026-04,Wakaf Al-Quran,Wakaf,Fisabilillah,Penghafal Quran,17000,17000,Transfer,Channel Cilodong BNI Syariah 0442 405 890,BSI498.26-04.0013,Barang/In-Kind,Terverifikasi,Tersalurkan,1,1,7
MQ260000014,Mustahiq-I000014,L,68,6,NF Peduli,KD-IA504,RL25000229,Hendry Chaniago,VRF00049,qossam1992@gmail.com,2026-02-04 00:00:00,Feb 2026,2026-02-04,2026-02-07,2026-02-12,2026-02,Sedekah Shubuh Berkah,Infak Tidak Terikat,Miskin,Lansia,42000,42000,Transfer,Channel Cilodong BNI Syariah 0442 405 890,BSI498.26-02.0014,Tunai,Terverifikasi,Tersalurkan,1,0,2
MQ260000015,Mustahiq-S000015,P,52,2,Zakat Sukses Karawang,Amil ZS Karawang,RL23000420,Rizky,VRF00012,sahabatzakat@zsapp.xyz,2026-02-06 00:00:00,Feb 2026,2026-02-06,2026-02-07,2026-02-20,2026-02,Bingkisan Berkah Ramadhan Untuk Palestina,Infak Terikat,Fakir,Dhuafa,41000,41000,Transfer,Channel Tapos BSI 442 406 3720,BSI498.26-02.0015,Barang/In-Kind,Terverifikasi,Tersalurkan,1,1,9
MQ260000016,Mustahiq-E000016,P,57,6,Sahabat Zakat Karawang,AA301,RL24000083,Murni Sri Rejeki,VRF00010,efanmoslem85@gmail.com,2026-01-31 00:00:00,Jan 2026,2026-01-31,2026-02-08,2026-02-21,2026-01,Zakat Penghasilan,Zakat Maal,Fakir,Yatim,55000,55000,Transfer,Kantor Pusat Bank Muamalat Indonesia 3390 1111 11,BSI498.26-01.0016,Tunai,Terverifikasi,Tersalurkan,1,1,6
MQ260000017,Mustahiq-Y000017,L,51,4,Cimanggis,CM3105,RL20003648,Kholid Saifullah,VRF00009,dimas.maulana@gmail.com,2026-03-27 00:00:00,Mar 2026,2026-03-27,2026-04-03,2026-04-05,2026-03,Peduli Gempa Cianjur,Infak Terikat,Ibnu Sabil,Pengungsi,22000,22000,Transfer,Channel PancoranMas BSI 709 6789 119,BSI498.26-03.0017,Barang/In-Kind,Terverifikasi,Tersalurkan,1,1,3
MQ260000018,Mustahiq-E000018,L,48,8,Sahabat Zakat Karawang,AA402,RL24000101,Marhaeni Fajar Suryani,VRF00039,nadzua.ps@gmail.com,2026-04-01 00:00:00,Apr 2026,2026-04-01,2026-04-15,2026-04-19,2026-04,Ramadhan Di Negeri Palestina,Infak Terikat,Fakir,Dhuafa,234000,234000,Tunai,Kantor Pusat BCA Syariah 010 100 4000,BSI498.26-04.0018,Tunai,Terverifikasi,Tersalurkan,1,0,7
MQ260000019,Mustahiq-R000019,P,31,5,Sahabat Zakat Pangandaran P,PN02,RL24000579,Tina Febriana,VRF00047,Nabilah.rsdy15@gmail.com,2026-01-31 00:00:00,Jan 2026,2026-01-31,2026-02-09,,2026-01,3000 Bingkisan Ramadhan,Infak Terikat,Miskin,Lansia,78000,0,Transfer,Channel Cipayung BSM 709 678 9143,BSI498.26-01.0019,,Ditolak,Dibatalkan,0,0,5
MQ260000020,Mustahiq-I000020,P,47,4,Margonda,B203,RL20004243,B20310,VRF00038,iabdhr8@gmail.com,2026-01-02 00:00:00,Jan 2026,2026-01-02,2026-01-09,2026-01-19,2026-01,Peduli Kemanusiaan Palestina,Infak Terikat,Ibnu Sabil,Korban Konflik,106000,0,Tunai,Kantor Pusat BCA Syariah 010 100 4000,BSI498.26-01.0020,,Pending,Dalam Proses,0,0,6
MQ260000021,Mustahiq-L000021,L,49,0,Zakat Sukses Karawang,Amil ZS Karawang,RL25000066,Fitra Rizkia,VRF00012,sahabatzakat@zsapp.xyz,2026-03-21 00:00:00,Mar 2026,2026-03-21,2026-03-23,2026-03-30,2026-03,Sedekah Jum'at Berkah,Infak Tidak Terikat,Miskin,Dhuafa,149000,149000,Tunai,Channel PancoranMas BSI 709 6789 119,BSI498.26-03.0021,Voucher,Terverifikasi,Tersalurkan,1,1,6
MQ260000022,Mustahiq-U000022,P,32,0,Sukmajaya,SJ3234,RL25000062,Manna Nasution,VRF00027,skmjy3116@gmail.com,2026-04-28 00:00:00,Apr 2026,2026-04-28,2026-05-02,2026-05-07,2026-04,Sedekah Al Quran dan Sarana Belajar untuk TPQ Pelosok,Infak Terikat,Fakir,Dhuafa,131000,0,Transfer,Channel Darus Salam BSI 9995554345,BSI498.26-04.0022,,Terverifikasi,Dalam Proses,0,1,7
MQ260000023,Mustahiq-S000023,P,30,6,NF Peduli,KD-IK501,RL20003470,Oni Syahroni,VRF00030,cahyono.agusdwi@gmail.com,2026-01-01 00:00:00,Jan 2026,2026-01-01,2026-01-06,2026-01-23,2026-01,"Santunan Anak Yatim dan Dhuafa, Wujudkan Keinginan Mereka",Infak Terikat,Miskin,Lansia,109000,109000,Transfer,Channel Cilodong BNI Syariah 0442 405 890,BSI498.26-01.0023,Tunai,Terverifikasi,Tersalurkan,1,0,11
MQ260000024,Mustahiq-Y000024,L,18,0,Limo,LM3202,RL21004933,Fanny Eldiana,VRF00024,faikotul.24@gmail.com,2026-05-15 00:00:00,Mei 2026,2026-05-15,2026-05-26,2026-06-06,2026-05,GAZA KEMBALI DISERANG,Infak Terikat,Ibnu Sabil,Korban Konflik,185000,185000,Transfer,Channel Cimanggis BNI Syariah 0442 405 970,BSI498.26-05.0024,Transfer Bank,Terverifikasi,Tersalurkan,1,0,6
MQ260000025,Mustahiq-J000025,L,56,0,Bakti Cinta Negeri,X3104,RL26000454,Ahmad Fil Ardhi,VRF00029,suyantosaja@gmail.com,2026-04-06 00:00:00,Apr 2026,2026-04-06,2026-04-13,,2026-04,Membangun Kembali Negeri Para Nabi,Infak Terikat,Ibnu Sabil,Pengungsi,222000,0,Transfer,Channel Tapos BSI 442 406 3720,BSI498.26-04.0025,,Ditolak,Dibatalkan,0,0,10
MQ260000026,Mustahiq-Y000026,L,73,2,AlBiruni,K3203,RL23000136,Refi Yulita,VRF00003,sahabatzakat@zsapp.xyz,2026-04-21 00:00:00,Apr 2026,2026-04-21,2026-05-05,2026-05-11,2026-04,Peduli Kemanusiaan Palestina,Infak Terikat,Ibnu Sabil,Pengungsi,76000,0,Transfer,Kantor Pusat BSI 703 9797 498,BSI498.26-04.0026,,Terverifikasi,Dibatalkan,0,0,1
MQ260000027,Mustahiq-F000027,P,21,5,Sawangan,SW3108,RL26000166,Novriatin,VRF00030,sriharyono1000@gmail.com,2026-04-23 00:00:00,Apr 2026,2026-04-23,2026-04-25,2026-05-13,2026-04,Bantuan Masuk Sekolah,Infak Tidak Terikat,Miskin,Dhuafa,23000,23000,Transfer,Kantor Pusat Bank Muamalat Indonesia 3390 1111 11,BSI498.26-04.0027,Voucher,Terverifikasi,Tersalurkan,1,1,4
MQ260000028,Mustahiq-B000028,L,55,6,NF Peduli,KD-IK501,RL23000413,Nugroho,VRF00047,syahril_ardi@yahoo.com,2026-04-09 00:00:00,Apr 2026,2026-04-09,2026-04-15,2026-04-23,2026-04,Sedekah 1000 Bulan,Infak Tidak Terikat,Fakir,Dhuafa,10000,10000,Transfer,Kantor Pusat BSM 703 9797 498,BSI498.26-04.0028,Barang/In-Kind,Terverifikasi,Tersalurkan,1,0,4
MQ260000029,Mustahiq-K000029,P,45,0,Daarus Salam,S4103,RL20002912,Saefudin Ali,VRF00040,faikotul.24@gmail.com,2026-01-16 00:00:00,Jan 2026,2026-01-16,2026-01-23,,2026-01,Bingkisan Berkah Ramadhan Untuk Palestina,Infak Terikat,Miskin,Dhuafa,65000,0,Transfer,Channel Sawangan BSM 709 6789 127,BSI498.26-01.0029,,Ditolak,Dibatalkan,0,0,5
MQ260000030,Mustahiq-I000030,P,24,7,Zakat Sukses Majalengka,MJK1001,RL26000446,Andi Krisnandika,VRF00032,sahabatzakat@zsapp.xyz,2026-03-13 00:00:00,Mar 2026,2026-03-13,2026-03-19,2026-04-06,2026-03,Zakat Fitrah Mudah Pahala Berlimpah Ruah,Zakat Fitrah,Miskin,Dhuafa,108000,0,Transfer,Channel Cipayung BSM 709 678 9143,BSI498.26-03.0030,,Terverifikasi,Ditunda,0,1,7
MQ260000031,Mustahiq-F000031,L,18,8,MITRA ZAKAT SUKSES,Pengurus Rekan Foundation,RL23000398,Muhammad Abdul Azis,VRF00017,datacenter.zakatsukses@gmail.com,2026-05-02 00:00:00,Mei 2026,2026-05-02,2026-05-11,2026-05-21,2026-05,Sedekah Subuh,Infak Tidak Terikat,Miskin,Lansia,64000,64000,Transfer,Channel Sawangan BSM 709 6789 127,BSI498.26-05.0031,Transfer Bank,Terverifikasi,Tersalurkan,1,1,3
