mustahiq_id,nama_mustahiq,jenis_kelamin,usia,jumlah_tanggungan,channel,grup,kode_relawan,relawan,relawan_verifikator,user,tgl_registrasi,bulan,tgl,tgl_verifikasi,tgl_penyaluran,kode_periode,program,kategori_program,kategori_asnaf,sub_kategori_asnaf,nominal_diajukan,nominal_disalurkan,setoran,bank,mutasi,metode_penyaluran,status_verifikasi,status_penyaluran,is_penerima_aktif,is_berulang,frekuensi_terima
MQ210000001,Mustahiq-C000001,P,20,0,Sahabat Zakat Pangandaran P,PN01,RL24000026,Rika,VRF00006,sahabatzakat@zsapp.xyz,2021-03-13 00:00:00,Mar 2021,2021-03-13,2021-03-25,2021-03-28,2021-03,Membangun Kembali Negeri Para Nabi,Infak Terikat,Fisabilillah,Pejuang Kemanusiaan,343000,0,Transfer,Channel Cilodong BNI Syariah 0442 405 890,BSI498.21-03.0001,,Terverifikasi,Dalam Proses,0,0,9
MQ210000002,Mustahiq-F000002,P,39,4,Cilodong,CL3218,RL21005581,Mulin Nikmah,VRF00010,firaalianii@gmail.com,2021-08-18 00:00:00,Agu 2021,2021-08-18,2021-08-28,2021-09-05,2021-08,Tebar 1000 Al-Qur'an dan Mukena kepada Dhuafa,Infak Terikat,Miskin,Dhuafa,170000,0,Transfer,Channel Sawangan BSI 709 6789 127,BSI498.21-08.0002,,Pending,Dalam Proses,0,0,7
MQ210000003,Mustahiq-M000003,L,53,4,Bakti Cinta Negeri,X3202,RL23000109,Mila Aisyah Husein,VRF00041,ariefb1976@gmail.com,2021-08-24 00:00:00,Agu 2021,2021-08-24,2021-09-02,,2021-08,3000 Bingkisan Ramadhan,Infak Terikat,Fakir,Dhuafa,405000,0,Transfer,Channel Tapos BSI 442 406 3720,BSI498.21-08.0003,,Ditolak,Dibatalkan,0,0,12
MQ210000004,Mustahiq-F000004,P,40,1,Albina,R4202,RL20002864,Widiyati,VRF00043,fitriawansumadi99@gmail.com,2021-04-30 00:00:00,Apr 2021,2021-04-30,2021-05-14,2021-05-17,2021-04,Wakaf Masjid Berdaya,Wakaf,Fisabilillah,Santri Tahfidz,1061000,1061000,Transfer,Kantor Pusat BCA Syariah 010 100 4000,BSI498.21-04.0004,Barang/In-Kind,Terverifikasi,Tersalurkan,1,0,3
MQ210000005,Mustahiq-H000005,L,69,5,Pesona Berkah Cemerlang,G3102,RL21005860,Chairil Su'ud,VRF00026,rifdatulmunaya15@gmail.com,2021-11-24 00:00:00,Nov 2021,2021-11-24,2021-12-06,2021-12-23,2021-11,Ulurkan Tangan Bantu Korban Bencana Sumatera,Infak Terikat,Miskin,Pengungsi,153000,153000,Transfer,Channel Beji BSM 709 6789 108,BSI498.21-11.0005,Transfer Bank,Terverifikasi,Tersalurkan,1,1,10
MQ210000006,Mustahiq-W000006,P,75,4,Sukmajaya,SJ3117,RL20001159,Yudi Anton H,VRF00026,ellyz.okeh.bgt@gmail.com,2021-03-15 00:00:00,Mar 2021,2021-03-15,2021-03-20,2021-03-24,2021-03,Wakaf Sumur Palestina,Wakaf,Fisabilillah,Pelajar Agama,153000,153000,Transfer,Channel Sukmajaya BSI 442 406 2920,BSI498.21-03.0006,Barang/In-Kind,Terverifikasi,Tersalurkan,1,0,2
MQ210000007,Mustahiq-T000007,P,53,0,Zakat Sukses Bandung,Amil ZS-BDG,RL25000079,ZS Cabang Bandung,VRF00044,zakatsukses.bdg@gmail.com,2021-11-02 00:00:00,Nov 2021,2021-11-02,2021-11-04,2021-11-16,2021-11,Fidyah,Fidyah,Miskin,Lansia,1129000,0,Transfer,Channel PancoranMas BSI 709 6789 119,BSI498.21-11.0007,,Terverifikasi,Dibatalkan,0,1,11
MQ210000008,Mustahiq-J000008,L,27,5,Daarus Salam,S3111,RL21005036,Rusman Riadi,VRF00049,muh.bedjo@gmail.com,2021-05-15 00:00:00,Mei 2021,2021-05-15,2021-05-24,2021-06-17,2021-05,Sedekah 1000 Bulan Raih Keutamaan 10 Malam Terakhir Ramadhan 2025,Infak Tidak Terikat,Fakir,Dhuafa,462000,0,Transfer,Channel Cilodong BNI Syariah 0442 405 890,BSI498.21-05.0008,,Terverifikasi,Ditunda,0,1,10
MQ210000009,Mustahiq-C000009,P,70,1,Daarus Salam,S3110,RL20002644,Imam Wahyudi Sukoco,VRF00049,oktaviani.intan@gmail.com,2021-05-03 00:00:00,Mei 2021,2021-05-03,2021-05-04,2021-05-11,2021-05,Sedekah 1000 Bulan,Infak Tidak Terikat,Miskin,Lansia,118000,0,Transfer,Channel Sukmajaya BSI 442 406 2920,BSI498.21-05.0009,,Pending,Ditunda,0,0,8
MQ210000010,Mustahiq-M000010,P,46,8,Pesona Berkah Cemerlang,G3203,RL20002795,Bunayah,VRF00029,sahabatzakat@zsapp.xyz,2021-04-19 00:00:00,Apr 2021,2021-04-19,2021-04-28,2021-05-22,2021-04,Bantuan Tunggakan Sekolah untuk Kaum Dhuafa,Infak Terikat,Miskin,Keluarga Prasejahtera,361000,361000,Transfer,Channel Cimanggis BSI 442 405 9700,BSI498.21-04.0010,Barang/In-Kind,Terverifikasi,Tersalurkan,1,0,1
